Time,Channel A,Channel B
(s),(mV),(V)

1036.40005405,17.76340000,-0.01220852
1036.53338739,17.76340000,-0.03174216
1036.66672073,16.76840000,0.00000000
1036.80005407,17.73288000,0.00976682
1036.93338741,17.83665000,-0.01220852
1037.06672075,16.86607000,0.01953363
1037.20005409,17.76340000,0.01953363
1037.33338743,17.86717000,0.00000000
1037.46672077,16.93932000,0.00000000
1037.60005412,17.73288000,0.00000000
1037.73338746,17.59248000,-0.01220852
1037.86672080,16.79893000,-0.01220852
1038.00005414,17.83665000,-0.03174216
1038.13338748,17.62910000,-0.01220852
1038.26672082,16.86607000,0.00000000
1038.40005416,17.73288000,0.00000000
1038.53338750,17.69625000,-0.01220852
1038.66672084,16.83555000,-0.01220852
1038.80005418,17.69625000,0.00976682
1038.93338752,17.59248000,-0.03174216
1039.06672086,16.86607000,-0.01220852
1039.20005420,17.80002000,0.00976682
1039.33338754,17.66573000,0.00976682
1039.46672088,16.96984000,0.00000000
1039.60005422,17.90380000,-0.02197534
1039.73338756,17.52533000,-0.01220852
1039.86672090,16.86607000,0.00000000
1040.00005424,17.80002000,-0.01220852
1040.13338758,17.48871000,-0.01220852
1040.26672092,16.86607000,-0.02197534
1040.40005426,17.73288000,0.00000000
1040.53338760,17.42156000,-0.01220852
1040.66672094,16.83555000,0.00000000
1040.80005428,17.80002000,-0.01220852
1040.93338762,17.42156000,0.00000000
1041.06672096,16.96984000,0.00000000
1041.20005430,17.97094000,-0.01220852
1041.33338764,17.31779000,0.00976682
1041.46672098,16.96984000,-0.01220852
1041.60005432,17.83665000,0.00000000
1041.73338766,17.35441000,-0.01220852
1041.86672100,17.04310000,-0.01220852
1042.00005434,17.90380000,0.00976682
1042.13338768,17.25064000,0.00000000
1042.26672103,16.96984000,0.00976682
1042.40005437,18.04420000,0.00000000
1042.53338771,17.31779000,0.00000000
1042.66672105,17.11024000,-0.02197534
1042.80005439,17.94042000,0.00000000
1042.93338773,17.42156000,-0.02197534
1043.06672107,16.96984000,-0.01220852
1043.20005441,17.83665000,0.00976682
1043.33338775,17.21402000,-0.01220852
1043.46672109,17.17739000,0.00000000
1043.60005443,17.97094000,0.00976682
1043.73338777,17.35441000,0.00976682
1043.86672111,17.04310000,-0.02197534
1044.00005445,18.04420000,0.01953363
1044.13338779,17.28116000,-0.01220852
1044.26672113,16.93932000,-0.01220852
1044.40005447,18.07472000,0.00976682
1044.53338781,17.17739000,0.00000000
1044.66672115,17.07362000,0.01953363
1044.80005449,18.04420000,-0.02197534
1044.93338783,17.31779000,-0.02197534
1045.06672117,17.07362000,0.00000000
1045.20005451,17.94042000,-0.01220852
1045.33338785,17.07362000,0.01953363
1045.46672119,17.28116000,0.00976682
1045.60005453,18.04420000,-0.01220852
1045.73338787,17.31779000,-0.01220852
1045.86672121,17.04310000,-0.02197534
1046.00005455,18.00757000,-0.03174216
1046.13338789,17.21402000,-0.01220852
1046.26672123,17.21402000,0.00000000
1046.40005457,18.11134000,-0.02197534
1046.53338791,17.14687000,-0.02197534
1046.66672125,17.28116000,-0.02197534
1046.80005459,18.04420000,0.00000000
1046.93338794,17.25064000,0.00976682
1047.06672128,17.21402000,0.00000000
1047.20005462,18.11134000,-0.01220852
1047.33338796,17.17739000,0.01953363
1047.46672130,17.28116000,-0.01220852
1047.60005464,18.11134000,0.00976682
1047.73338798,17.04310000,-0.01220852
1047.86672132,17.35441000,0.00000000
1048.00005466,18.14797000,-0.01220852
1048.13338800,17.04310000,0.00000000
1048.26672134,17.35441000,0.00000000
1048.40005468,18.11134000,0.00000000
1048.53338802,17.07362000,0.00000000
1048.66672136,17.35441000,-0.01220852
1048.80005470,18.17849000,0.00000000
1048.93338804,17.11024000,0.00000000
1049.06672138,17.21402000,0.00000000
1049.20005472,18.14797000,-0.03174216
1049.33338806,17.07362000,0.00000000
1049.46672140,17.31779000,0.00000000
1049.60005474,18.07472000,-0.01220852
1049.73338808,17.07362000,0.00000000
1049.86672142,17.42156000,0.00000000
1050.00005476,18.14797000,-0.01220852
1050.13338810,16.96984000,0.00976682
1050.26672144,17.31779000,0.00000000
1050.40005478,17.97094000,-0.01220852
1050.53338812,16.96984000,-0.01220852
1050.66672146,17.31779000,0.00000000
1050.80005480,17.94042000,0.00000000
1050.93338814,17.07362000,0.00000000
1051.06672148,17.48871000,-0.01220852
1051.20005482,18.17849000,0.00000000
1051.33338816,16.96984000,0.01953363
1051.46672150,17.38493000,0.01953363
1051.60005485,17.86717000,-0.02197534
1051.73338819,17.14687000,-0.01220852
1051.86672153,17.48871000,-0.01220852
1052.00005487,18.11134000,0.00000000
1052.13338821,16.90270000,-0.01220852
1052.26672155,17.48871000,0.00000000
1052.40005489,18.17849000,-0.01220852
1052.53338823,16.90270000,0.00000000
1052.66672157,17.35441000,0.00000000
1052.80005491,17.97094000,0.00000000
1052.93338825,16.90270000,0.01953363
1053.06672159,17.48871000,0.00976682
1053.20005493,18.00757000,0.00000000
1053.33338827,16.93932000,0.00000000
1053.46672161,17.62910000,0.00976682
1053.60005495,18.00757000,0.00000000
1053.73338829,16.90270000,0.00976682
1053.86672163,17.48871000,0.00976682
1054.00005497,17.80002000,0.00000000
1054.13338831,16.90270000,-0.01220852
1054.26672165,17.56196000,0.00000000
1054.40005499,17.90380000,0.01953363
1054.53338833,16.96984000,-0.01220852
1054.66672167,17.48871000,0.00000000
1054.80005501,17.90380000,-0.02197534
1054.93338835,17.04310000,0.00000000
1055.06672169,17.56196000,0.00976682
1055.20005503,17.83665000,0.00976682
1055.33338837,17.00647000,0.00000000
1055.46672171,17.42156000,0.01953363
1055.60005505,17.94042000,-0.02197534
1055.73338839,16.96984000,0.00000000
1055.86672173,17.59248000,0.00976682
1056.00005507,17.86717000,0.00976682
1056.13338841,16.83555000,-0.01220852
1056.26672176,17.56196000,-0.01220852
1056.40005510,17.73288000,0.00000000
1056.53338844,17.00647000,-0.02197534
1056.66672178,17.59248000,-0.01220852
1056.80005512,18.04420000,-0.01220852
1056.93338846,16.86607000,0.00000000
1057.06672180,17.45819000,-0.02197534
1057.20005514,17.80002000,-0.01220852
1057.33338848,16.86607000,0.00976682
1057.46672182,17.56196000,0.00000000
1057.60005516,17.90380000,0.00976682
1057.73338850,16.93932000,-0.01220852
1057.86672184,17.59248000,-0.02197534
1058.00005518,17.90380000,-0.02197534
1058.13338852,16.93932000,-0.03174216
1058.26672186,17.66573000,-0.03174216
1058.40005520,17.80002000,0.00000000
1058.53338854,16.86607000,0.00976682
1058.66672188,17.66573000,0.01953363
1058.80005522,17.94042000,0.01953363
1058.93338856,16.83555000,-0.01220852
1059.06672190,17.69625000,0.00000000
1059.20005524,17.86717000,0.00000000
1059.33338858,16.86607000,-0.01220852
1059.46672192,17.66573000,0.00000000
1059.60005526,17.86717000,0.00976682
1059.73338860,16.93932000,-0.02197534
1059.86672194,17.52533000,0.00976682
1060.00005528,17.83665000,0.00000000
1060.13338862,16.86607000,0.00000000
1060.26672196,17.62910000,0.00000000
1060.40005530,17.94042000,0.00000000
1060.53338864,16.83555000,0.00000000
1060.66672198,17.52533000,-0.01220852
1060.80005533,17.83665000,-0.02197534
1060.93338867,16.96984000,-0.03174216
1061.06672201,17.62910000,-0.01220852
1061.20005535,17.73288000,0.00000000
1061.33338869,16.90270000,-0.02197534
1061.46672203,17.59248000,-0.01220852
1061.60005537,17.86717000,0.00976682
1061.73338871,16.73178000,0.00976682
1061.86672205,17.66573000,0.00000000
1062.00005539,17.73288000,0.00000000
1062.13338873,16.86607000,-0.01220852
1062.26672207,17.42156000,0.01953363
1062.40005541,17.80002000,-0.01220852
1062.53338875,16.86607000,0.00000000
1062.66672209,17.59248000,0.00000000
1062.80005543,17.83665000,0.00976682
1062.93338877,16.90270000,0.00000000
1063.06672211,17.62910000,0.00000000
1063.20005545,17.83665000,0.00976682
1063.33338879,16.93932000,0.01953363
1063.46672213,17.62910000,0.00000000
1063.60005547,17.86717000,0.00000000
1063.73338881,16.79893000,-0.01220852
1063.86672215,17.76340000,0.00000000
1064.00005549,17.62910000,0.00976682
1064.13338883,16.79893000,-0.01220852
1064.26672217,17.73288000,0.00000000
1064.40005551,17.73288000,0.00000000
1064.53338885,16.79893000,-0.02197534
1064.66672219,17.76340000,0.01953363
1064.80005553,17.66573000,0.00976682
1064.93338887,16.73178000,-0.01220852
1065.06672221,17.62910000,0.00000000
1065.20005555,17.56196000,0.00000000
1065.33338889,16.79893000,-0.01220852
1065.46672224,17.76340000,0.00976682
1065.60005558,17.73288000,-0.01220852
1065.73338892,16.79893000,0.00000000
1065.86672226,17.52533000,-0.01220852
1066.00005560,17.83665000,-0.01220852
1066.13338894,16.83555000,0.00976682
1066.26672228,17.73288000,-0.01220852
1066.40005562,17.59248000,-0.01220852
1066.53338896,16.83555000,0.00976682
1066.66672230,17.76340000,0.00000000
1066.80005564,17.69625000,0.00976682
1066.93338898,16.79893000,-0.02197534
1067.06672232,17.69625000,-0.03174216
1067.20005566,17.56196000,0.00976682
1067.33338900,16.86607000,-0.01220852
1067.46672234,17.69625000,0.00000000
1067.60005568,17.56196000,0.00000000
1067.73338902,16.86607000,-0.02197534
1067.86672236,17.73288000,-0.02197534
1068.00005570,17.76340000,0.00976682
1068.13338904,16.79893000,-0.01220852
1068.26672238,17.62910000,-0.02197534
1068.40005572,17.56196000,-0.02197534
1068.53338906,16.93932000,-0.02197534
1068.66672240,17.73288000,0.00000000
1068.80005574,17.56196000,0.00000000
1068.93338908,16.79893000,-0.01220852
1069.06672242,17.66573000,0.00000000
1069.20005576,17.52533000,-0.02197534
1069.33338910,16.66463000,0.00976682
1069.46672244,17.86717000,0.00000000
1069.60005578,17.69625000,0.00000000
1069.73338912,16.76840000,-0.02197534
